---

$ .venv/bin/python -c "
import csv
import re

valid_pattern = re.compile(r'^[0-9]{6}/[0-9]{3}\$')

with open('entust/eksponaat.csv', 'r', encoding='utf-8') as f:
    reader = csv.reader(f)
    next(reader)  # Skip header
    count = 0
    for row in reader:
        entu_id = row[0] if len(row) > 0 else ''
        code = row[5] if len(row) > 5 else ''
        
        # Catch both missing and invalid codes
        if not code or not valid_pattern.match(code):
            count += 1
            status = 'MISSING' if not code else 'INVALID'
            print(f'{count},{entu_id},{code},{status}')
" > vigaseid_koode.csv

---

286,52964e4bbdf9203d66ccf8d9,f000065/003,INVALID
287,52964e4bbdf9203d66ccf8da,f000065/004,INVALID
288,52964e4bbdf9203d66ccf8db,f000065/005,INVALID
289,52964e4bbdf9203d66ccf8dc,f000123/000,INVALID
290,52964e4bbdf9203d66ccf8dd,f000124/000,INVALID
291,52964e4bbdf9203d66ccf8de,f000125/000,INVALID
292,52964e4bbdf9203d66ccf8df,f000126/000,INVALID
293,52964e4bbdf9203d66ccf8e0,f000236/002,INVALID
294,52964e4bbdf9203d66ccf8e1,f000236/003,INVALID
295,52964e4bbdf9203d66ccf8e2,f000237/000,INVALID
296,52964e4bbdf9203d66ccf8e3,f000117/001,INVALID
297,52964e4bbdf9203d66ccf8e4,f000117/002,INVALID
298,52964e4bbdf9203d66ccf8e5,f000117/003,INVALID
299,52964e4bbdf9203d66ccf8e6,f000118/000,INVALID
300,52964e4bbdf9203d66ccf8e7,f000119/000,INVALID
301,52964e4bbdf9203d66ccf8e8,f000065/006,INVALID
302,52964e4bbdf9203d66ccf8e9,f000065/007,INVALID
303,52964e4bbdf9203d66ccf8ea,f000065/008,INVALID
304,52964e4bbdf9203d66ccf8eb,f000065/009,INVALID
305,52964e4bbdf9203d66ccf8ec,f000065/010,INVALID
306,52964e4bbdf9203d66ccf8ed,f000065/011,INVALID
307,52964e4bbdf9203d66ccf8ee,f000065/012,INVALID
308,52964e4bbdf9203d66ccf8ef,f000065/013,INVALID
309,52964e4bbdf9203d66ccf8f0,f000065/014,INVALID
310,52964e4bbdf9203d66ccf8f1,f000065/015,INVALID
311,52964e4bbdf9203d66ccf8f2,f000065/016,INVALID
312,52964e4bbdf9203d66ccf8f3,f000065/017,INVALID
313,52964e4bbdf9203d66ccf8f4,f000065/018,INVALID
314,52964e4bbdf9203d66ccf8f5,f000065/019,INVALID
315,52964e4bbdf9203d66ccf8f6,f000065/020,INVALID
316,52964e4bbdf9203d66ccf8f7,f000066/001,INVALID
317,52964e4bbdf9203d66ccf8f8,f000066/002,INVALID
318,52964e4bbdf9203d66ccf8f9,f000066/003,INVALID
319,52964e4bbdf9203d66ccf8fa,f000066/004,INVALID
320,52964e4bbdf9203d66ccf8fb,f000066/006,INVALID
321,52964e4bbdf9203d66ccf8fc,f000066/008,INVALID
